file,texture,width,height,selected_pixels,alpha_zero,alpha_full,alpha_partial,alpha_min,alpha_max
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_h_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_h_color_mask,16,16,63,0,3,60,57,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_i_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_i_color_mask,64,64,832,0,16,816,7,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_j_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_j_color_mask,64,64,928,0,16,912,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_k_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_k_color_mask,64,64,85,0,1,84,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_l_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_l_color_mask,64,128,75,0,1,74,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_m_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_m_color_mask,64,64,1088,0,32,1056,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_n_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_n_color_mask,64,256,80,0,4,76,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_o_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_o_color_mask,64,256,103,0,4,99,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_p_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_p_color_mask,16,16,50,0,4,46,7,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_q_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_q_color_mask,16,16,55,0,3,52,8,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_r_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_r_color_mask,32,128,70,0,3,67,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_s_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_s_color_mask,128,128,67,0,2,65,7,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_t_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_t_color_mask,64,64,528,0,32,496,7,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_u_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_u_color_mask,64,64,1024,0,32,992,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_v_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_v_color_mask,128,128,53,0,5,48,6,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_a_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_a_color_mask,16,16,17,0,1,16,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_b_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_b_color_mask,16,16,5,0,1,4,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_c_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_c_color_mask,16,16,8,0,2,6,205,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_d_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_d_color_mask,16,16,12,0,1,11,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_e_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_e_color_mask,16,16,16,0,2,14,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_f_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_f_color_mask,16,16,14,0,2,12,205,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_g_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_g_color_mask,16,16,5,0,1,4,86,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_h_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_h_color_mask,16,16,5,0,1,4,205,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_i_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_i_color_mask,16,16,22,0,5,17,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_j_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_j_color_mask,16,16,9,0,1,8,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_k_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_k_color_mask,16,16,14,0,1,13,68,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_l_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_l_color_mask,16,16,13,0,2,11,72,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_m_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_m_color_mask,16,16,14,0,1,13,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_n_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_n_color_mask,16,16,16,0,1,15,205,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_o_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_o_color_mask,16,16,16,0,1,15,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_p_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_p_color_mask,16,16,11,0,1,10,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_q_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_q_color_mask,16,16,27,0,1,26,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_r_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_r_color_mask,16,16,27,0,1,26,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_s_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_s_color_mask,16,16,12,0,1,11,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_t_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_t_color_mask,16,16,24,0,1,23,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_u_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_u_color_mask,16,16,7,0,2,5,205,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\foregrip\emx_foregrip_v_color_mask.png,textures/models/emx_parts/foregrip/emx_foregrip_v_color_mask,32,32,416,0,0,416,95,205
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_a_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_a_color_mask,32,32,818,0,22,796,44,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_b_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_b_color_mask,32,32,745,0,0,745,205,205
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_c_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_c_color_mask,16,16,17,0,2,15,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_d_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_d_color_mask,16,16,56,0,3,53,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_e_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_e_color_mask,16,16,62,0,14,48,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_f_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_f_color_mask,16,16,21,0,1,20,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_g_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_g_color_mask,16,16,20,0,1,19,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_h_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_h_color_mask,16,16,69,0,3,66,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_i_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_i_color_mask,16,16,51,0,2,49,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_j_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_j_color_mask,16,16,54,0,2,52,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_k_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_k_color_mask,16,16,53,0,2,51,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_l_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_l_color_mask,16,16,38,0,2,36,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_m_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_m_color_mask,16,16,46,0,1,45,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_n_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_n_color_mask,16,16,54,0,1,53,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_o_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_o_color_mask,16,16,28,0,1,27,40,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_p_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_p_color_mask,16,16,55,0,5,50,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\gunstock\emx_gunstock_q_color_mask.png,textures/models/emx_parts/gunstock/emx_gunstock_q_color_mask,16,16,57,0,1,56,95,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_a_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_a_color_mask,16,16,10,0,1,9,74,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_b_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_b_color_mask,16,16,10,0,1,9,80,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_c_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_c_color_mask,16,16,15,0,0,15,65,111
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_d_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_d_color_mask,16,16,15,0,1,14,73,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_e_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_e_color_mask,16,16,8,0,1,7,79,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_f_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_f_color_mask,16,16,51,0,1,50,61,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_g_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_g_color_mask,16,16,24,0,1,23,72,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_h_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_h_color_mask,16,16,22,0,1,21,62,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_i_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_i_color_mask,16,16,14,0,1,13,52,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_j_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_j_color_mask,16,16,17,0,1,16,61,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\muzzle\emx_muzzle_k_color_mask.png,textures/models/emx_parts/muzzle/emx_muzzle_k_color_mask,16,16,11,0,1,10,68,255
